Run	Sample Characteristic[cell type]	Sample Characteristic Ontology Term[cell type]	Sample Characteristic[disease]	Sample Characteristic Ontology Term[disease]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[progenitor cell type]	Sample Characteristic Ontology Term[progenitor cell type]	Factor Value[disease]	Factor Value Ontology Term[disease]	Analysed
SRR1027591	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1027592	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1027593	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1027594	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1027595	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1027596	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1027597	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1027598	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	normal	http://purl.obolibrary.org/obo/PATO_0000461	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	normal	http://purl.obolibrary.org/obo/PATO_0000461	Yes
SRR1027599	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Yes
SRR1027600	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Yes
SRR1027601	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Yes
SRR1027602	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Yes
SRR1027603	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Yes
SRR1027604	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Yes
SRR1027605	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Yes
SRR1027606	motor neuron	http://purl.obolibrary.org/obo/CL_0000100	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	induced pluripotent stem cell	http://www.ebi.ac.uk/efo/EFO_0004905	ALS	http://purl.obolibrary.org/obo/MONDO_0004976	Yes
